theme_id|theme_name|trigger_keywords|genre|mood|copy
T017|세계관에 빠지는 SF|SF,세계관,우주,미래,상상력|SF|몰입|한 번 들어가면 못 나오는 세계
T018|실화라 더 몰입되는 이야기|실화,범죄,드라마,다큐,사건|드라마/스릴러|몰입|진짜라서 더 강한 이야기
T019|요즘 다시 보고 싶은 명작|명작,재발견,클래식,인생영화,추천|영화|재발견|시간 지나도 좋은 작품
T020|아이와 같이 보기 좋은 애니|키즈,애니,가족,주말,극장판|애니|가족|아이도 어른도 같이 보는 이야기
T021|연애세포 깨우는 로맨스|연애,로맨스,설렘,첫사랑,커플,고백|로맨스|설렘|오랜만에 설레고 싶다면
T022|밥 먹으면서 틀기 좋은 콘텐츠|밥,예능,가벼움,먹방,편안함,일상|예능|휴식|밥친구로 딱 좋은 콘텐츠
T023|아빠가 좋아할 액션 영화|액션,남성,통쾌함,범죄,추격,복수|액션|통쾌함|시원하게 터지는 한 방
T024|어른들이 더 좋아하는 드라마|가족,인생,부모,세대,감동,휴먼|드라마|감동|어른이 되어 더 와닿는 이야기
T025|몰아보기 좋은 회차형 드라마|정주행,몰아보기,드라마,회차형,중독성|드라마|몰입|한 회만 보려다 끝까지
T026|짧게 봐도 바로 빠지는 예능|클립,쇼츠,예능,리액션,웃음|예능|가벼움|짧게 봐도 웃긴 순간
T027|범죄 심리 파고드는 이야기|범죄,심리,수사,스릴러,미스터리|스릴러|긴장|범인을 따라가다 보면 끝
T028|배우 때문에 다시 보는 작품|배우,필모,출연작,인터뷰,화제|영화/드라마|팬심|요즘 그 배우가 생각난다면
T029|계절감 제대로 타는 영화|봄,여름,가을,겨울,계절,감성|영화|감성|계절 따라 다시 보고 싶은 작품
T030|이거 아직 안 봤어?|화제작,추천,입소문,랭킹,인기|영화/드라마|화제성|남들 다 볼 때 같이 보기
T031|퇴근하고 아무 생각 없이 보는 예능|퇴근,피로,예능,웃음,편안함|예능|휴식|오늘 하루는 웃고 끝내자
T032|결혼 생각나게 하는 이야기|결혼,부부,연애,가족,현실로맨스|로맨스/드라마|공감|사랑 다음의 이야기
T033|부모님과 같이 보기 좋은 드라마|부모,가족,감동,휴먼,세대공감|드라마|감동|부모님도 같이 빠지는 이야기
T034|아이 재우고 보는 영화|밤,부부,영화,스릴러,로맨스,휴식|영화|야간시청|아이 재우고 이제 우리 시간
T035|주말 낮에 틀어두기 좋은 예능|주말,낮,예능,가족,가벼움|예능|편안함|주말엔 가볍게 웃자
T036|기분 꿀꿀할 때 보는 코미디|코미디,웃음,기분전환,가벼움,힐링|코미디|기분전환|웃다 보면 괜찮아지는 이야기
T037|현실 직장인 공감 드라마|직장,회사,상사,퇴근,현실,공감|드라마|공감|오늘도 버틴 당신에게
T038|사이다 복수극 모음|복수,사이다,통쾌함,범죄,드라마|드라마/스릴러|통쾌함|참교육이 필요한 순간
T039|나쁜 놈 잡는 이야기|범죄,수사,액션,정의,추격|범죄/액션|통쾌함|끝까지 잡아내는 쾌감
T040|한 번 보면 계속 보게 되는 수사물|수사,범죄,미스터리,추리,형사|스릴러/드라마|몰입|단서 하나에 빠져든다
T041|여운 오래가는 인생영화|인생영화,여운,명작,감동,생각|영화|여운|끝나도 마음에 남는 영화
T042|눈물 버튼 누르는 가족 이야기|가족,눈물,부모,감동,휴먼|드라마/영화|감동|괜히 가족 생각나는 이야기
T043|비밀 많은 사람들의 이야기|비밀,반전,관계,미스터리,스릴러|스릴러/드라마|긴장|모두가 숨기고 있는 진실
T044|부자들의 세계|재벌,상류층,욕망,비밀,복수|드라마|자극|화려한 세계의 민낯
T045|학교에서 벌어지는 이야기|학교,청춘,학생,성장,우정|드라마|청춘|그 시절 우리들의 이야기
T046|첫사랑 소환 로맨스|첫사랑,청춘,로맨스,추억,설렘|로맨스|설렘|처음이라 더 오래 남는 사랑
T047|어른의 사랑은 어렵다|현실연애,이별,재회,부부,감정|로맨스/드라마|공감|사랑이 쉬웠다면 좋았을 텐데
T048|혼자 밤에 보면 더 몰입되는 영화|밤,혼자,스릴러,공포,몰입|영화|몰입|불 끄고 보면 더 빠진다
T049|친구랑 같이 보면 더 재밌는 영화|친구,코미디,액션,웃음,가벼움|영화|오락|같이 보면 더 터지는 재미
T050|아이보다 어른이 더 빠지는 애니|애니,가족,감동,인생,어른|애니|감동|어른이 되어 더 잘 보이는 이야기
T051|요즘 다시 뜨는 그 배우|배우,화제,인터뷰,필모,출연작|영화/드라마|팬심|요즘 눈에 밟히는 그 배우
T052|감독 이름 믿고 보는 영화|감독,봉준호,박찬욱,놀란,작가주의|영화|신뢰|이름만 봐도 기대되는 영화
T053|봉준호 좋아하면 볼 영화|봉준호,사회풍자,계급,SF,해석|영화|지적흥미|봉준호 감성 따라잡기
T054|박찬욱 무드의 영화|박찬욱,미장센,복수,관계,반전|영화|강렬함|아름답고 서늘한 이야기
T055|놀란 좋아하면 볼 영화|놀란,SF,시간,세계관,반전,해석|영화|몰입|머리 쓰며 빠져드는 영화
T056|보고 나면 원작 찾게 되는 작품|원작,웹툰,소설,각색,세계관|영화/드라마|궁금증|원작까지 궁금해지는 이야기
T057|웹툰 원작 드라마 몰아보기|웹툰,원작,드라마,판타지,액션|드라마|몰입|웹툰에서 튀어나온 이야기
T058|실화 기반이라 더 무서운 영화|실화,공포,범죄,사건,스릴러|영화|긴장|진짜라서 더 소름 돋는 이야기
T059|뉴스보다 더 무서운 범죄 이야기|범죄,실화,수사,사회,스릴러|스릴러/드라마|긴장|현실이 더 무섭다
T060|주인공이 끝까지 의심되는 영화|의심,반전,스릴러,미스터리,심리|스릴러|긴장|믿는 순간 뒤집힌다
T061|끝까지 범인을 못 맞히는 이야기|범인,추리,미스터리,반전,수사|스릴러|몰입|마지막까지 의심하라
T062|기괴한데 눈을 못 떼는 영화|기괴함,공포,미스터리,컬트,해석|영화|강렬함|이상한데 계속 보게 된다
T063|소름 돋는 오컬트 영화|오컬트,퇴마,종교,공포,미스터리|공포|긴장|보이지 않는 것이 더 무섭다
T064|한국형 공포의 맛|한국공포,귀신,오컬트,심리,소름|공포|긴장|한국 공포는 결이 다르다
T065|여름밤 공포 특집|여름,공포,밤,소름,스릴러|공포|계절감|더운 밤엔 더 서늘하게
T066|크리스마스에 보기 좋은 영화|크리스마스,겨울,가족,로맨스,감성|영화|시즌|올해도 다시 찾는 따뜻한 이야기
T067|설 연휴 온가족 영화|설,연휴,가족,코미디,애니|영화/애니|가족|연휴엔 다 같이 보는 영화
T068|추석에 몰아보는 드라마|추석,연휴,정주행,가족,드라마|드라마|정주행|긴 연휴엔 긴 이야기
T069|비행기 타고 떠나고 싶어지는 영화|여행,해외,로맨스,휴가,풍경|영화|힐링|떠나고 싶은 마음이 드는 영화
T070|집순이 집돌이 맞춤 콘텐츠|집,혼자,예능,힐링,일상|예능/드라마|편안함|밖에 안 나가도 충분히 즐겁다
T071|운동 욕구 자극 콘텐츠|스포츠,야구,축구,도전,성장|예능/영화|활력|보다 보면 몸이 근질근질
T072|야구 좋아하면 보는 콘텐츠|야구,스포츠,예능,도전,팀워크|예능|몰입|야구팬이라면 못 지나친다
T073|음식 나오는 장면이 좋은 영화|음식,요리,먹방,힐링,감성|영화/예능|힐링|보다 보면 배고파지는 이야기
T074|요리 서바이벌의 긴장감|요리,셰프,서바이벌,경쟁,먹방|예능|몰입|칼보다 날카로운 주방 승부
T075|여행 예능으로 떠나는 주말|여행,예능,힐링,배우케미,풍경|예능|힐링|집에서 떠나는 주말 여행
T076|낯선 곳에서 만나는 이야기|여행,로드무비,낯선곳,성장,힐링|영화|힐링|떠나야 보이는 것들
T077|음악이 남는 영화|음악,OST,뮤지컬,감성,로맨스|영화|감성|보고 나면 노래가 남는다
T078|무대 위 사람들의 이야기|음악,무대,가수,공연,꿈|영화/드라마|열정|무대 뒤 진짜 이야기
T079|아이돌 나온 콘텐츠|아이돌,가수,출연,팬심,예능|예능/드라마|팬심|무대 밖 모습까지 보고 싶다면
T080|연예인 일상 관찰 예능|관찰예능,일상,연예인,혼자,리얼|예능|편안함|꾸밈없는 일상이 더 재밌다
T081|게스트빨 좋은 토크 예능|토크,게스트,인터뷰,입담,예능|예능|가벼움|이 조합이면 말이 필요 없다
T082|요즘 말 나오는 예능 클립|예능,클립,쇼츠,화제,리액션|예능|화제성|짧게 봐도 터지는 장면
T083|다시 보는 국민 예능|국민예능,레전드,웃음,추억,클립|예능|추억|그때 그 장면 다시 보기
T084|부부가 같이 보기 좋은 콘텐츠|부부,가족,로맨스,예능,공감|예능/드라마|공감|같이 보면 더 할 말 많아지는 이야기
T085|자녀와 같이 보기 좋은 영화|자녀,아이,가족,애니,성장|애니/영화|가족|아이와 함께 봐도 좋은 이야기
T086|초등학생이 좋아할 애니|초등,키즈,애니,모험,가족|애니|키즈|아이들이 먼저 고르는 애니
T087|어른도 웃는 가족 코미디|가족,코미디,웃음,애니,편안함|코미디/애니|가족|온 가족이 같이 웃는 시간
T088|주말 아침 키즈 콘텐츠|주말,아침,키즈,애니,가족|애니|키즈|주말 아침엔 아이들 시간
T089|마음 복잡할 때 보는 힐링물|힐링,감성,위로,자연,일상|영화/드라마|위로|마음이 조용해지는 이야기
T090|오늘따라 외로운 날|외로움,감성,로맨스,인생,위로|드라마/영화|공감|외로운 마음에 닿는 이야기
T091|다 내려놓고 웃는 콘텐츠|웃음,코미디,예능,가벼움,스트레스|예능/코미디|기분전환|머리 비우고 웃기 좋은 시간
T092|통쾌한 한 방이 있는 영화|통쾌함,복수,액션,사이다,범죄|액션/스릴러|통쾌함|답답함 날리는 한 방
T093|악역이 강렬한 작품|악역,빌런,범죄,스릴러,연기|영화/드라마|강렬함|악역이 남긴 압도적 존재감
T094|연기력으로 압도하는 작품|연기,배우,명연기,감정,몰입|영화/드라마|몰입|배우 연기에 빨려드는 순간
T095|대사가 오래 남는 영화|명대사,여운,감성,인생,명작|영화|여운|한 줄이 오래 남는 영화
T096|영상미로 보는 영화|영상미,미장센,색감,감독,아름다움|영화|시각미|화면만 봐도 빠져드는 영화
T097|집중해서 봐야 하는 영화|집중,해석,복선,반전,세계관|영화|몰입|딴짓하면 놓치는 영화
T098|틀어놓기 좋은 편안한 예능|틀어놓기,예능,편안함,일상,밥친구|예능|휴식|켜두기만 해도 편안한 시간
T099|짧은 시간에 보기 좋은 콘텐츠|짧은시간,가벼움,예능,코미디,클립|예능/영화|가벼움|시간 없을 때 딱 좋은 콘텐츠
T100|이번주 뭐 볼지 모르겠다면|추천,인기,화제,입소문,랭킹|영화/드라마/예능|추천|고민될 땐 이 안에서 고르자
